  INFO root [2018-06-10 11:33:39,855] - NetworkInterface::initialize(INTERNAL): address 192.168.0.103:50843, SOMAXCONN=5.
  INFO root [2018-06-10 11:33:39,869] - ---- tool Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: F217117F928F68467C45B47BA31B1B8B. Config: Debug X86. Built: 23:53:49 May  8 2018. AppID: 0. UID: 23675. PID: 8168 ----
  INFO root [2018-06-10 11:33:39,869] - Server : Intel(R) Xeon(R) CPU E3-1230 v3 @ 3.30GHz with 4194303kB RAM
  INFO root [2018-06-10 11:33:39,870] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-06-10 11:33:39,879] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
 DEBUG root [2018-06-10 11:33:40,194] - Script::install_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-06-10 11:33:40,216] - Script::install_py_dlls(): PyInit__socket
 DEBUG root [2018-06-10 11:33:40,222] - Script::install_py_dlls(): PyInit__ssl
 DEBUG root [2018-06-10 11:33:40,279] - Script::install_py_dlls(): PyInit__hashlib
 DEBUG root [2018-06-10 11:33:40,281] - Script::install_py_dlls(): PyInit_select
 DEBUG root [2018-06-10 11:33:40,282] - Script::install_py_dlls(): PyInit__ctypes
 DEBUG root [2018-06-10 11:33:40,284] - Script::install_py_dlls(): PyInit__elementtree
 DEBUG root [2018-06-10 11:33:40,362] - Script::install_py_dlls(): PyInit_unicodedata
  INFO root [2018-06-10 11:33:40,432] - Script::install(): is successfully, Python=(3.4.2 (default, May  8 2018, 23:53:43) [MSC v.1913 32 bit (Intel)])!
  INFO root [2018-06-10 11:33:40,432] - Script::install(): KBExtra is successfully!
 DEBUG root [2018-06-10 11:33:41,039] - ClientSDK::writeServerErrorDescrsModule(): D:\MJ_client\MJClient\Assets\Script\usdSDK//ServerErrorDescrs.cs
 DEBUG root [2018-06-10 11:33:41,040] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/ServerErrorDescrs.cs
 DEBUG root [2018-06-10 11:33:41,041] - ClientSDK::writeEngineMessagesModule(): D:\MJ_client\MJClient\Assets\Script\usdSDK//Messages.cs
 DEBUG root [2018-06-10 11:33:41,055] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/Messages.cs
 DEBUG root [2018-06-10 11:33:41,057] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/KBETypes.cs
 DEBUG root [2018-06-10 11:33:41,058] - ClientSDK::writeEntityDefsModule(): D:\MJ_client\MJClient\Assets\Script\usdSDK//EntityDef.cs
 DEBUG root [2018-06-10 11:33:41,060] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/EntityDef.cs
 DEBUG root [2018-06-10 11:33:41,061] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/CustomDataTypes.cs
 DEBUG root [2018-06-10 11:33:41,062] - ClientSDK::writeEntityModule(): D:\MJ_client\MJClient\Assets\Script\usdSDK//Account
 DEBUG root [2018-06-10 11:33:41,064] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/AccountBase.cs
 DEBUG root [2018-06-10 11:33:41,064] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/EntityCallAccountBase.cs
 DEBUG root [2018-06-10 11:33:41,064] - ClientSDK::writeEntityModule(): D:\MJ_client\MJClient\Assets\Script\usdSDK//CheckName
 DEBUG root [2018-06-10 11:33:41,065] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/CheckNameBase.cs
 DEBUG root [2018-06-10 11:33:41,066] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/EntityCallCheckNameBase.cs
 DEBUG root [2018-06-10 11:33:41,066] - ClientSDK::writeEntityModule(): D:\MJ_client\MJClient\Assets\Script\usdSDK//Halls
 DEBUG root [2018-06-10 11:33:41,067] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/HallsBase.cs
